"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",2766.12612789546,0.224143914301825,0.0893476704201497,2.50867105149813,0.0121186278844644,0.0283221865165011
"AAAS",1573.79588115687,-0.00405382761601388,0.0431835658327783,-0.0938743139395135,0.925208998221196,0.946859754809835
"AACS",805.305277107255,-0.178300875058581,0.0810094970550989,-2.2009873106274,0.0277369221742777,0.056588629737378
"AADAC",13298.3835081667,0.335876969965172,0.121952034453007,2.75417274891465,0.00588407014449127,0.0155450279405891
"AADAT",378.474806678909,0.40703942743937,0.129978881917329,3.13158123408279,0.00173867678450867,0.00556167877655288
"AAGAB",1310.11740389564,-0.101797807878489,0.0371712688245025,-2.73861536336328,0.00616985098655105,0.0161648200348102
"AAK1",1131.37808467168,0.0363797616613866,0.061196431866454,0.594475209613142,0.552194318307211,0.642794587295099
"AAMP",4729.29557355891,0.0292723141801521,0.0403169079167999,0.726055535820356,0.467804725705011,0.563559641307012
"AARS",7941.37485187601,0.0422678812495361,0.0549072459142648,0.769805160425192,0.441415478146697,0.53829231659996
"AARS2",1106.84900187342,0.1335711394763,0.0522189022929248,2.55790783818138,0.010530399641445,0.0251408869379179
"AARSD1",1524.07994311518,-0.139909274840294,0.0743732332896842,-1.88117779275974,0.0599477375443203,0.107042358831232
"AASDHPPT",1321.34490898611,0.145708144494435,0.0484203019612102,3.00923659276564,0.00261905074528415,0.00787554276017626
"AASS",2267.99885392852,0.565114981853759,0.128574769976587,4.39522452155011,1.10658317847815e-05,7.43651800320068e-05
"AATF",2623.13193648036,-0.0355274846227348,0.055498892120381,-0.640147636563145,0.522076621769526,0.615464394588128
"ABAT",13057.1629107872,0.264628973059915,0.114030328214985,2.32068939204491,0.0203036136585897,0.0437576995907134
"ABCA1",3070.72408696398,0.063470136734256,0.0797255805063229,0.796107552070095,0.425969525004235,0.522911776196361
"ABCA2",3493.58627214076,-0.0225783239855295,0.0883400708772257,-0.255584173312569,0.798271940461801,0.849895519133363
"ABCA3",515.965513379064,-0.395807434683048,0.130551707653817,-3.03180587827015,0.00243095483475219,0.00736977704613107
"ABCA5",1746.49025035399,0.253129344138409,0.0846919286453504,2.98882488788742,0.00280052585574261,0.00831576758279004
"ABCA6",3496.90994875494,0.514916606036761,0.124803004493036,4.12583501597906,3.69392019667227e-05,0.00021085509663468
"ABCA8",1067.86641097769,0.352632644179588,0.146453738351994,2.40780910168407,0.0160485702409832,0.035921839111576
"ABCB1",3161.7434927006,0.201683479091295,0.127304756583904,1.58425721475984,0.113135197942862,0.180711175886257
"ABCB10",1363.0996249585,0.245472737670803,0.0592779974799735,4.14104301943961,3.45730104516014e-05,0.000199755171498142
"ABCB11",1654.75956343332,0.777595718370192,0.156776370920671,4.95990380312894,7.05280964852698e-07,6.66811094042551e-06
"ABCB4",6808.55833603999,0.490632549437198,0.131753041588059,3.72388024992406,0.000196184009230209,0.000873203147554918
"ABCB6",3115.10758672826,0.103646101636511,0.0909206309149649,1.1399624110995,0.254301961582712,0.34718886508094
"ABCB7",882.619444242261,0.149207858795344,0.0484701947261771,3.07834246671103,0.00208155551354171,0.00648338401003786
"ABCB8",2399.70295506748,0.00466977207672787,0.0656541086354703,0.0711268825939855,0.943296773132831,0.95812707018542
"ABCC1",802.325461245738,-0.578549534943138,0.117788096697829,-4.91178269419987,9.02520461342619e-07,8.28492410584484e-06
"ABCC10",623.330512407592,-0.166056171416054,0.0650898440982184,-2.55118403979399,0.010735761808522,0.0255524914047099
"ABCC2",5941.52464679466,0.416588333506721,0.114170887807077,3.64881399723072,0.000263453758866283,0.00112358968886406
"ABCC3",8335.44343432389,-0.141617982439994,0.0918341400111416,-1.54210604490674,0.123047826261876,0.193965224096355
"ABCC4",599.672794624473,-0.254779569362521,0.132449612518746,-1.92359618512634,0.0544052196133161,0.0986535642913799
"ABCC5",759.968613188262,-0.204810957372034,0.0639245410516381,-3.2039488121876,0.00135556575289438,0.00451089888582042
"ABCC6",6723.57852196117,0.335105880660075,0.092267717104994,3.63188654899469,0.000281356818088119,0.00119018400032514
"ABCC9",1290.07711350486,0.591326468555576,0.12661276638893,4.67035422588535,3.00680793639467e-06,2.38309089977451e-05
"ABCD1",1647.43953109719,-0.146474153321828,0.0793535187374044,-1.84584320459107,0.0649149752795228,0.114025727947224
"ABCD3",4765.14931425279,0.216445130264225,0.0608910632293165,3.55462885331941,0.000378512989436985,0.00153858854810229
"ABCD4",1440.90743168067,0.0392465571713074,0.0564538582129069,0.695197076226307,0.486931804388902,0.582896466567737
"ABCE1",1895.84429307518,0.0887902954021599,0.0502518363740896,1.76690648160952,0.0772438913584862,0.131222291933301
"ABCF1",4219.22754479068,0.086453578029755,0.0472034305817803,1.83151048481473,0.067024384198315,0.116898134676743
"ABCF2",1813.10675139782,-0.010596838296559,0.0500014535132013,-0.211930605052535,0.832161173498437,0.876132158962305
"ABCG1",848.889949440769,-0.105192631418052,0.112175278407777,-0.937752354272369,0.348371691711542,0.447898957774164
"ABCG2",1326.73753997122,0.600450867778546,0.128382431652989,4.67704856534835,2.9103334995178e-06,2.3239067494277e-05
"ABCG5",1972.17699817295,0.282560787099891,0.127225228921231,2.22094933132196,0.0263543934236574,0.0543006202263711
"ABCG8",2753.35972120376,0.371328061531179,0.134893485514055,2.7527501429451,0.00590969800071792,0.015588587859611
"ABHD10",1478.22055340773,0.124262694725751,0.0472566185653852,2.62952996845972,0.00855029953402192,0.0211184562720649
"ABHD11",832.167796796182,-0.285263881266705,0.089193902398654,-3.19824420274507,0.00138267138577887,0.0045863172220623
"ABHD12",3482.12753952719,-0.287949383134734,0.060466780490363,-4.7621087281243,1.91580406782502e-06,1.60648742285268e-05
"ABHD13",700.140086794872,0.1071003022865,0.0588918790421124,1.81859203728098,0.0689736935537589,0.119700378230862
"ABHD14A",930.942811001484,-0.0359492032843782,0.0686888803214098,-0.523362778897607,0.600721821018657,0.686355263886268
"ABHD14B",7465.84118163485,0.0946995566204255,0.0837518014782408,1.13071665264453,0.258174370030251,0.351524010917721
"ABHD15",1026.06511585946,0.404701410003563,0.0954564149939809,4.23964602095188,2.23872528762919e-05,0.000136761097800155
"ABHD2",12903.0877757922,0.249185466788707,0.0850146463766671,2.93108867011765,0.00337776353989935,0.00974867348204509
"ABHD3",1781.23430161639,-0.147269226865703,0.0736196342229329,-2.00040693518996,0.0454563401256955,0.0852543806008206
"ABHD4",1966.71836998888,0.0281269076378321,0.0702810636845592,0.400206060683336,0.689004751041576,0.762996041667648
"ABHD5",972.617173830074,0.236602622075125,0.0584749019507036,4.04622520401299,5.20501609520356e-05,0.000280855175544996
"ABHD6",1562.38315242572,0.211334281999674,0.0847659000050482,2.49315210464454,0.0126614593789254,0.0293438571091893
"ABHD8",1082.38092879129,-0.0943715552167348,0.0626489200316759,-1.50635565894862,0.13197589700994,0.20510260583365
"ABI1",1815.85151293085,-0.0307994365564734,0.0462446470959905,-0.666010846456298,0.505404167589941,0.599705960930433
"ABI2",904.764729247399,-0.237164172024027,0.0662084879303353,-3.58208108110809,0.00034086795512791,0.00140839240374555
"ABI3",365.751448191643,-0.68803884715016,0.0790478866645305,-8.70407642990017,3.20171236491335e-18,1.79632914789349e-16
"ABL1",1967.6160517854,0.0154653115464426,0.0560354196975916,0.27599171434612,0.782554430171098,0.838184398455052
"ABL2",1023.21083935849,0.102655467721879,0.064300364634586,1.59649899818238,0.110377429253995,0.177018455262773
"ABLIM1",3203.19003098384,0.270785218783509,0.0714146318997814,3.79173303257393,0.000149599682556792,0.000688497621610535
"ABLIM3",2797.12634122192,-0.162027161050625,0.0903224251479991,-1.79387522849539,0.0728330860919424,0.124923684270331
"ABR",708.467083151597,-0.921848909061685,0.0917606060126082,-10.0462382401335,9.54413931949405e-24,1.21481224054694e-21
"ABT1",1583.63931917144,0.067557141586952,0.0538841419739555,1.25374811794545,0.209933572302283,0.29853485152474
"ABTB1",1187.0757625842,-0.0142388226058556,0.064398835840834,-0.221103726797916,0.825011668504817,0.870361770211355
"ABTB2",911.637292386289,0.459388959200698,0.0748378500545527,6.13845746324659,8.33266174072475e-10,1.51515862100001e-08
"ACAA1",12734.1080303061,0.156025583119773,0.0949263690828053,1.64364848911129,0.100248831810676,0.163184202649636
"ACAA2",16227.6692855423,0.264157523113496,0.097799943989579,2.70099871572159,0.00691316054576073,0.0177844443843884
"ACACA",2497.33966695924,0.310440317615488,0.0686560753124248,4.52167293575704,6.13528060450618e-06,4.46050068160518e-05
"ACACB",3834.89145870264,0.238381598971022,0.0951764991049442,2.50462668003975,0.0122580699773209,0.0286010453533769
"ACAD10",2141.84854893567,-0.0599481015632139,0.0669771811697847,-0.895052621149398,0.37075895926806,0.469741851825585
"ACAD11",3037.89091487491,0.300252781498113,0.097364589057647,3.08379858020396,0.00204375913102556,0.00638431423787031
"ACAD8",1163.37472875846,0.154686859935241,0.0556831903878003,2.77798126971424,0.00546977711229546,0.0146169902831332
"ACADL",465.198873652128,0.363439727620409,0.150417339518277,2.4162089875034,0.0156830570432047,0.0352331692477475
"ACADM",5299.24204063928,0.336626339012015,0.0915480928835979,3.67704370903751,0.000235952622575596,0.00102298117200035
"ACADS",4531.069312641,0.00294142635452661,0.0969670048949534,0.0303343014225625,0.975800440573232,0.982134563579432
"ACADSB",10461.0964399399,0.349082137004595,0.101653036183988,3.43405519509295,0.000594623102241785,0.00225078338615144
"ACADVL",21870.9202151273,-0.0112065026781257,0.0827509673248873,-0.135424431162575,0.892276308787135,0.922237107127139
"ACAP2",1104.5053222033,0.162656912154672,0.0547650637103774,2.97008532693171,0.00297717043038601,0.00874588681720011
"ACAP3",1302.08854162594,-0.0216687647553601,0.0668785321627983,-0.324001799301054,0.745936672006921,0.809023011430119
"ACAT1",14107.1997300527,0.0895330240771211,0.0875532957101659,1.02261169440736,0.306491478114886,0.403482452201876
