"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",2766.12612789546,0.114977081803633,0.138990279600363,0.827231099428146,0.408106087770136,0.514993891166576
"AAAS",1573.79588115687,-0.183968487521397,0.0661648271630991,-2.78045746372021,0.00542823705464064,0.014336328771129
"AACS",805.305277107255,-0.528750961751751,0.121623822976037,-4.34742921915823,1.37742500688629e-05,8.15741698522657e-05
"AADAC",13298.3835081667,0.454741185756102,0.183997100713828,2.47145843055083,0.013456319476229,0.0311412462668333
"AADAT",378.474806678909,0.86311706456359,0.191895860330712,4.49784098039478,6.86470098200299e-06,4.43837528237464e-05
"AAGAB",1310.11740389564,-0.0572469320075469,0.0590921783554919,-0.968773424854232,0.332658248717124,0.438946239371751
"AAK1",1131.37808467168,-0.332994734112457,0.0924849865830796,-3.6005274630529,0.000317572281507028,0.0012428895900376
"AAMP",4729.29557355891,-0.0120451884117983,0.0630910240236154,-0.190917624150301,0.848590132068544,0.893870633186826
"AARS",7941.37485187601,-0.155982437114034,0.0849508244042024,-1.83614977497874,0.0663355084314788,0.118126793882575
"AARS2",1106.84900187342,-0.138060989457528,0.0822538809200455,-1.67847386546697,0.0932546282512764,0.156181356977
"AARSD1",1524.07994311518,-0.237856260612322,0.114873974232503,-2.07058441393264,0.0383976499469611,0.074693238765439
"AASDHPPT",1321.34490898611,-0.0208044262335753,0.0773816171992532,-0.268854890690706,0.788041351201802,0.850255142086155
"AASS",2267.99885392852,0.545689438762037,0.195735060270519,2.78789828458866,0.00530511976704047,0.0140503296190438
"AATF",2623.13193648036,-0.329416678577696,0.0834364057206393,-3.94811684099438,7.87683609329002e-05,0.000372566046608859
"ABAT",13057.1629107872,1.02838834505136,0.16399427068991,6.27087971259616,3.59013895123147e-10,8.57610783644314e-09
"ABCA1",3070.72408696398,-0.0151045775083578,0.12325654358986,-0.122545846804034,0.902466739078267,0.932682091004783
"ABCA2",3493.58627214076,-0.00786360881806196,0.13585098715709,-0.0578840756524568,0.95384096764111,0.969067878489801
"ABCA3",515.965513379064,-0.930838060228966,0.191818690899478,-4.85269738764284,1.21793462174097e-06,9.99667608682095e-06
"ABCA5",1746.49025035399,0.237031627304727,0.132134877050791,1.79386118635139,0.0728353279167228,0.127753944153396
"ABCA6",3496.90994875494,0.620557247476556,0.189380310799617,3.27677806027664,0.0010499886821701,0.0034666292998632
"ABCA8",1067.86641097769,0.941565302158939,0.212315424613468,4.43474751715807,9.21802573941275e-06,5.75907131909978e-05
