"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"a1cf",2864.32531895708,-0.606276501338667,0.119625312743942,-5.06812887199217,4.01745378843092e-07,1.03257522325916e-06
"aaas",1365.05741722784,0.273719578691447,0.0563156223666831,4.86045553948069,1.17115945132226e-06,2.85035610755601e-06
"aacs",645.649376914323,0.915924294302061,0.111084044464369,8.24532720894811,1.64708878065767e-16,1.15512936854018e-15
"aadac",13936.2379506237,-1.20844411609498,0.164395312389773,-7.35084290742925,1.96960796426258e-13,1.00881782097485e-12
"aadat",773.459224854698,-3.06491033087533,0.188036901837835,-16.2995151532466,9.94781092481983e-60,7.06957763057196e-57
"aagab",1125.73456831203,0.286601731335815,0.0514022237132196,5.5756679503752,2.46581875478033e-08,7.30409945841148e-08
"aak1",949.912109245171,0.425720548730608,0.0845188541775391,5.0369891176748,4.72911655957246e-07,1.20675960562639e-06
"aamp",4394.17949615529,-0.0511079871879497,0.0517501386387964,-0.987591309555154,0.323352844126117,0.370838226829952
"aars",7136.76514652069,0.123917070543302,0.0712524479897908,1.73912720249356,0.0820123907528336,0.105331576557254
"aars2",922.222738545073,0.187017837744911,0.0812479447327938,2.30181622882857,0.021345537952332,0.0301681716369717
"aarsd1",1310.6305365755,0.470281078600956,0.0962507425951118,4.88599948344543,1.02905467530111e-06,2.52105092529959e-06
"aasdhppt",1277.02307488604,-0.252070706871318,0.0633999795057597,-3.97587994249143,7.01194957816902e-05,0.000138005783527868
"aass",2569.75684512366,-2.07342736084186,0.169575448333748,-12.2271672061929,2.22565686723123e-34,9.25873256768191e-33
"aatf",2205.86305258322,0.493095098827616,0.0728767391816852,6.76615205845458,1.32252549797842e-11,5.5395370563654e-11
"abat",17825.0315362274,-2.24513048929941,0.140432997269569,-15.9872005365645,1.56926139176446e-57,7.37116939457327e-55
"abca1",3467.15024970754,-0.492946098037435,0.119180896591809,-4.13611671110145,3.53232584036919e-05,7.17914079281898e-05
"abca2",2970.89882716947,0.198161733981632,0.12177321211723,1.62730152663513,0.10367307384223,0.130884378049821
"abca3",393.906364384417,1.66259863986109,0.185955632777126,8.9408350531321,3.86240524855854e-19,3.50038171729089e-18
"abca5",1598.96980543167,-0.51192366289161,0.110140652293481,-4.64790839923064,3.35317748421648e-06,7.73698527743457e-06
"abca6",3842.08521184812,-1.97057656565767,0.158169823566168,-12.4586126558667,1.25535462862766e-35,6.04839789431451e-34
"abca8",1370.88495556332,-2.56186320329382,0.202147352351382,-12.6732463893006,8.31985414834881e-37,4.54879513592098e-35
"abcb1",2911.73479421483,-0.561540900631016,0.180554167690807,-3.11009658659687,0.00187026176242348,0.00305138555767122
"abcb10",1206.60647950558,-0.104320437410274,0.0810036801074012,-1.287848123344,0.197798836729946,0.237080601494446
"abcb11",1793.6142660431,-2.76967792221963,0.230904345686206,-11.9949146647225,3.77806326182223e-33,1.3594651264481e-31
"abcb4",6845.98142524052,-2.12485618162059,0.166743404356478,-12.7432697552336,3.39847177690245e-37,1.98507995297425e-35
"abcb6",2700.51163066165,0.0601319664082468,0.124367426254179,0.483502539365496,0.628738957157738,0.67334997195042
"abcb7",840.074361519312,-0.253601681475432,0.06232582233188,-4.06896647307793,4.72221410579973e-05,9.4710822893368e-05
"abcb8",2068.5132177639,-0.141405345162867,0.0892475912073719,-1.58441637751661,0.113098997389198,0.141776899858163
"abcc1",636.709117869239,1.51186825120281,0.159154324107657,9.49938532728863,2.11132852142487e-21,2.45639967676825e-20
"abcc10",488.193334654354,0.991298497320861,0.0930175926627642,10.6571076389261,1.61543366946735e-26,3.28009960314704e-25
"abcc2",5757.58289918377,-0.702506644085516,0.158340304892436,-4.43668871651311,9.13532483501384e-06,2.00582003586504e-05
"abcc3",7531.57395983517,0.0466972125875431,0.123903109589516,0.37688491226934,0.706259134345475,0.745325813352087
"abcc4",470.011217603559,0.729457365060639,0.205430921404582,3.55086449534062,0.000383968049585367,0.000688060417496114
"abcc5",605.273065531816,0.840650937410957,0.0953520600996784,8.81628500246521,1.18320074910009e-18,1.0141041194297e-17
"abcc6",6911.92429272598,-1.25325722769219,0.109890655239833,-11.4045841746689,3.96668176544517e-30,1.10911023264644e-28
"abcc9",1617.63157000823,-2.27346584999772,0.168676391537862,-13.4782694203379,2.09974216471513e-41,1.96775837150447e-39
"abcd1",1341.20977148492,0.597529600382169,0.109278850473529,5.46793453438557,4.55309972128048e-08,1.30560976540282e-07
"abcd3",5080.13683753282,-0.666933435640326,0.0840721432021844,-7.93287063036354,2.14137469744546e-15,1.32139243269283e-14
"abcd4",1435.75309704131,-0.469237555638847,0.0730178097497954,-6.42634389126088,1.30709520867592e-10,4.92354590971213e-10
"abce1",1817.59365922008,-0.0447043208051192,0.0681106546253473,-0.656348423767498,0.511599967419436,0.56122003114908
"abcf1",3685.74985693661,0.241942372763533,0.0613114812342554,3.94611853918736,7.94283018588126e-05,0.000155216443229137
"abcf2",1509.8585344427,0.462947336666574,0.0689002217553411,6.71909791974925,1.82853006149037e-11,7.55143068493458e-11
"abcg1",708.734795973223,0.533426332404713,0.160027527929352,3.33334107766887,0.00085809677884991,0.00146797378736851
"abcg2",1331.89681060024,-1.79821230295036,0.168520484804826,-10.6705858639855,1.39742479778176e-26,2.85101403719686e-25
"abcg5",2054.74957148577,-1.16353550536321,0.1739786799462,-6.68780511337948,2.26542543073166e-11,9.24380290587539e-11
"abcg8",2857.18366529047,-1.17092939806904,0.191726647517358,-6.10728562373172,1.01339791186598e-09,3.48478120661012e-09
"abhd10",1449.96437268451,-0.391414489954647,0.0622349473156178,-6.28930378890867,3.18892882790268e-10,1.15136261830458e-09
"abhd11",705.284617630275,0.573785390625427,0.120830614133167,4.74867561289608,2.04753050178481e-06,4.84498893430102e-06
"abhd12",2904.47081564557,0.456629889506364,0.0866978028304857,5.26691420772429,1.38736002018548e-07,3.75480998163814e-07
"abhd13",714.562143639757,-0.422603788277128,0.0782096587764991,-5.40347311173943,6.53627575979136e-08,1.83904188978887e-07
"abhd14a",825.054681404492,-0.0796451665872441,0.0915151807050608,-0.870294589090394,0.384139435181488,0.433554936901499
"abhd14b",7621.28690603731,-0.776484355640178,0.106483173747302,-7.2920850150736,3.05194466678123e-13,1.52472080365028e-12
"abhd15",1139.5534475592,-1.22878001368423,0.124965358519341,-9.8329651372468,8.11923252916449e-23,1.13882919422228e-21
"abhd2",14147.9102224181,-1.13536376437109,0.106525193229388,-10.6581713672768,1.59706646822156e-26,3.25054483078602e-25
"abhd3",1573.95724710973,0.565954614869232,0.0892241754137529,6.34306355026282,2.25240460613298e-10,8.28398833949954e-10
"abhd4",1634.23392875204,0.228411052769194,0.0984630177321657,2.31976490290503,0.0203535986655296,0.0288187762609392
"abhd5",987.58317504896,-0.664448755437486,0.0802564468964265,-8.27907016983917,1.24140774115577e-16,8.85918428165389e-16
"abhd6",1776.91248667575,-1.22791399878104,0.105880667822135,-11.59715011284,4.2603012846371e-31,1.29294837563648e-29
"abhd8",962.020984290747,0.0706520716670253,0.0848019165082255,0.83314239319311,0.404764427078114,0.454846624604316
"abi1",1600.40234419339,0.207679357778455,0.0587508860385342,3.53491448013635,0.000407907151761993,0.000728814621878541
"abi2",792.122877744936,0.668653088145961,0.078475271581452,8.52055780975468,1.58786685069555e-17,1.23327217693366e-16
"abi3",343.66864749282,0.331925227865865,0.119424943147993,2.77936266173926,0.00544656794787689,0.00830918272978428
"abl1",1687.04344081458,0.364862216448989,0.0743116017109654,4.90989573698221,9.11248296206828e-07,2.24404431708109e-06
"abl2",858.331234817792,0.453535768730755,0.0861383793213231,5.26519969732567,1.4003705265999e-07,3.78881974963323e-07
"ablim1",2845.99704950328,-0.0641374265463918,0.100539281860161,-0.637934003105374,0.523516642062557,0.572671873205424
"ablim3",3214.13245523259,-0.594299696518404,0.133491298740341,-4.45197329059178,8.50847514315597e-06,1.87494253283809e-05
"abr",635.449473059815,0.695348823391669,0.137764836203281,5.04736072393421,4.47955098542157e-07,1.1458191602782e-06
"abt1",1389.55375716099,0.228974422010623,0.069300817330883,3.30406524525337,0.000952936516785,0.00161885311058615
"abtb1",1075.36796305116,-0.182145670926806,0.084676842737231,-2.15106828548201,0.0314708102955582,0.0433575234572731
"abtb2",877.157724837899,-0.886193144312939,0.0969945162123946,-9.1365283205536,6.44893427102161e-20,6.40238783041587e-19
"acaa1",16163.762722227,-1.56848034643281,0.123538217990526,-12.6963167507653,6.19786835600041e-37,3.50035902913718e-35
