"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"a1cf",2864.32531895708,-0.651089694455785,0.136782682503992,-4.7600301627129,1.93564029504632e-06,5.06664838433242e-06
"aaas",1365.05741722784,0.375779655578833,0.0636952221222273,5.89965217261877,3.64268676295975e-09,1.37342661105346e-08
"aacs",645.649376914323,1.13063361090575,0.128290832659164,8.81305068702421,1.21785451625862e-18,1.38848440035475e-17
"aadac",13936.2379506237,-0.693749125841394,0.196953747287245,-3.5223961737047,0.000427664521557783,0.00080474912617934
"aadat",773.459224854698,-2.58396895523893,0.216350861393817,-11.9434188456287,7.02740756206539e-33,3.63210495086628e-31
"aagab",1125.73456831203,0.448057378827596,0.0564137309358881,7.94234615215921,1.9839235348945e-15,1.59612263260192e-14
"aak1",949.912109245171,0.641715695380786,0.0943385247501253,6.80226553341278,1.02986547294561e-11,5.32607201533061e-11
"aamp",4394.17949615529,-0.095752486433354,0.0592163958645884,-1.61699281145569,0.105879832621259,0.134969090073856
"aars",7136.76514652069,0.117318840797747,0.0819087724490144,1.43231106131855,0.152054818860047,0.188176388802566
"aars2",922.222738545073,0.716339147094859,0.0839093021587416,8.53706476714193,1.37674392850822e-17,1.41456291835158e-16
"aarsd1",1310.6305365755,0.446192651314021,0.112253508624299,3.97486596884365,7.04189021337189e-05,0.000147950824684985
"aasdhppt",1277.02307488604,-0.321154867350551,0.0720579068232621,-4.45689975616769,8.31534627088172e-06,1.98636619042239e-05
"aass",2569.75684512366,-1.00057180599241,0.218607090001076,-4.57703273021697,4.7161769436764e-06,1.16510883475297e-05
"aatf",2205.86305258322,0.634975811199285,0.0826788070354418,7.68003112245066,1.5904994414874e-14,1.14462272042232e-13
"abat",17825.0315362274,-1.62126243744523,0.181340336173355,-8.9404402333045,3.87623053743587e-19,4.68222294946928e-18
"abca1",3467.15024970754,-1.0114238059559,0.124315168698496,-8.1359645531989,4.08671384388924e-16,3.61905458574117e-15
"abca2",2970.89882716947,0.526429153191649,0.136515895497207,3.85617477931291,0.000115175153314446,0.00023430670502519
"abca3",393.906364384417,1.81020382152367,0.220097191814599,8.22456573207218,1.95899336265761e-16,1.79252096531589e-15
"abca5",1598.96980543167,-0.00368999548833843,0.130855035694184,-0.0281991095624487,0.977503347409278,0.98003157144443
"abca6",3842.08521184812,-0.885856884688495,0.207279805021801,-4.27372499986347,1.92234108165393e-05,4.37516005987316e-05
"abca8",1370.88495556332,-1.39596200662488,0.253477548158173,-5.50724123997673,3.64500610715772e-08,1.19280936614893e-07
"abcb1",2911.73479421483,-0.0396466080528416,0.208008557196081,-0.190600851173005,0.848838323278583,0.869014792427342
"abcb10",1206.60647950558,0.219291292594602,0.0922593506163419,2.37690045648076,0.0174587989255327,0.0257192325508624
"abcb11",1793.6142660431,-0.801079137510703,0.293838251587246,-2.72625886243013,0.00640567388437213,0.0102057446320488
"abcb4",6845.98142524052,-0.504898187224635,0.222929307125884,-2.26483540335739,0.0235227819907176,0.0338169731653472
"abcb6",2700.51163066165,0.377677438107467,0.140496006372997,2.68817205454786,0.00718443676314779,0.0113272095981003
"abcb7",840.074361519312,-0.236256685930882,0.0723220106642135,-3.26673282118506,0.0010879630611689,0.00193214264590761
"abcb8",2068.5132177639,0.421876178549329,0.0995596462372479,4.23742143020486,2.26101502809685e-05,5.09834377567688e-05
"abcc1",636.709117869239,1.22205532494421,0.197251204100633,6.19542643866824,5.81274357677311e-10,2.42519947273586e-09
"abcc10",488.193334654354,1.43840592637702,0.10119888894511,14.2136533451192,7.53877127443686e-46,1.02048637187933e-43
"abcc2",5757.58289918377,-0.327403591754813,0.184807197300626,-1.77159546022564,0.0764617338337967,0.10005610958027
"abcc3",7531.57395983517,0.0787082999795378,0.141578271992118,0.555934882323751,0.578255371044472,0.625821451480344
"abcc4",470.011217603559,1.36507792073284,0.227647414735546,5.99645694337722,2.016690485099e-09,7.90364726880712e-09
"abcc5",605.273065531816,1.21622792752241,0.104693166909081,11.6170707547573,3.37510733529785e-31,1.48365543069176e-29
"abcc6",6911.92429272598,-0.620678956969556,0.145179365058046,-4.27525603739481,1.90917759501573e-05,4.3533332968701e-05
"abcc9",1617.63157000823,-1.34525948456015,0.216288071772418,-6.21975809177152,4.97921957210797e-10,2.09279371665533e-09
"abcd1",1341.20977148492,0.952130538435036,0.120552382091315,7.89806490687034,2.83266639800713e-15,2.25134939815515e-14
"abcd3",5080.13683753282,-0.78512585833729,0.0938563214108471,-8.36518890294535,6.00186887772622e-17,5.80975457312704e-16
"abcd4",1435.75309704131,-0.47657916173126,0.0846990724580326,-5.62673412943688,1.83653459061599e-08,6.31105782092723e-08
"abce1",1817.59365922008,-0.277038477048685,0.0761162196654425,-3.63967730224078,0.000272979923501278,0.000528244335742885
"abcf1",3685.74985693661,0.320306598740974,0.0698071208787384,4.58845164660747,4.46545708868608e-06,1.10701796663706e-05
"abcf2",1509.8585344427,0.722906649109852,0.0743271800072243,9.72600667803605,2.33583353828727e-22,4.0323863187275e-21
"abcg1",708.734795973223,0.676698430602407,0.182046294105392,3.71717773178423,0.000201460721757526,0.000396139505452659
"abcg2",1385.78449385069,-0.675479428717588,0.219091961843319,-3.08308631240725,0.00204865726409861,0.00349558806487253
"abcg5",2054.74957148577,-0.66473814228196,0.206474317076829,-3.21947132066121,0.00128427206483183,0.00225633954859617
"abcg8",2857.18366529047,-0.642747788103227,0.22547435103124,-2.85064702554205,0.00436303739432447,0.00712387189331784
