"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"a1cf",2864.32531895708,-0.06936275050907,0.118513227968884,-0.58527433348859,0.558363270093766,0.705440291460687
"aaas",1365.05741722784,-0.0114727105419341,0.058614806274985,-0.195730588754505,0.844821041102742,0.909615421306758
"aacs",645.649376914323,-0.212530387818987,0.117828833708924,-1.80372139084401,0.0712749944456611,0.167878254522108
"aadac",13936.2379506237,-0.282383999694361,0.157856110940488,-1.78886961050764,0.073635816991648,0.171763196746382
"aadat",773.459224854698,-0.53739417050892,0.192199883299519,-2.7960171529941,0.00517366544603127,0.0235061368799972
"aagab",1125.73456831203,0.145882813856754,0.0535946790522709,2.7219645016341,0.0064895112963215,0.0279931979438694
"aak1",949.912109245171,-0.198577598851464,0.0858209287224966,-2.31385982192721,0.0206754126445704,0.0678936923499792
"aamp",4394.17949615529,-0.0774665595514653,0.0513637429332297,-1.50819537532863,0.131504530576501,0.261781194387581
"aars",7136.76514652069,0.00512186162809988,0.0706951154387228,0.0724500072786417,0.942243789269094,0.96842049844489
"aars2",922.222738545073,0.165416799523841,0.0798334964110684,2.07202248379675,0.0382633444459172,0.107374070890024
"aarsd1",1310.6305365755,-0.137753817713105,0.0971271498968725,-1.41828333127627,0.156108061219117,0.29742840618334
"aasdhppt",1277.02307488604,-0.169370465068459,0.0638293855924538,-2.65348731616936,0.00796647645690317,0.0329476776064356
"aass",2569.75684512366,-0.0217475227847925,0.173401279030279,-0.125417314718855,0.900193181180103,0.942754199816274
"aatf",2205.86305258322,-0.046776731163069,0.0780065228305527,-0.599651535098908,0.54873849393135,0.697725044915246
"abat",17825.0315362274,-0.110515968899483,0.161813770632571,-0.682982470944522,0.494617919084148,0.650374917826752
"abca1",3467.15024970754,-0.425555577707897,0.11415754121035,-3.72779207747436,0.000193164636062783,0.00185926412679844
"abca2",2970.89882716947,0.127817334061818,0.116089709496774,1.10102208555677,0.270887045088464,0.436531504254426
"abca3",393.906364384417,-0.873448637221448,0.174539717112411,-5.00429731222098,5.6066168409026e-07,1.68951337170379e-05
"abca5",1598.96980543167,0.418243207632872,0.106648701661643,3.92169057022188,8.7929864839615e-05,0.00100115605788016
"abca6",3842.08521184812,0.238232363533867,0.165710993409238,1.43763765235256,0.150536891766611,0.289988392361793
"abca8",1370.88495556332,-0.203509209540583,0.193585575555353,-1.05126225937424,0.293138155546268,0.462170861619259
"abcb1",2911.73479421483,0.273793771219071,0.162172303078121,1.68828934424875,0.0913556997089403,0.201053266352992
"abcb10",1206.60647950558,0.0171277239324088,0.0796959657732937,0.214913311686705,0.829834906160338,0.899932282424868
"abcb11",1793.6142660431,0.237921005471124,0.207119475016585,1.14871383027633,0.250674001075432,0.414613630948658
"abcb4",6845.98142524052,0.674857817651329,0.169557021615538,3.98012309499947,6.88795923302976e-05,0.000837953157478998
"abcb6",2700.51163066165,-0.147274036099591,0.117755990584874,-1.25067128532575,0.211054430904354,0.36620323842376
"abcb7",840.074361519312,0.0681087539113592,0.0635749020742576,1.07131512104896,0.284027763069183,0.452153959950343
"abcb8",2068.5132177639,0.378290093107457,0.084296137477922,4.487632582294,7.20189933360086e-06,0.000134393430015204
"abcc1",636.709117869239,-0.56678624025259,0.159641818091155,-3.55036197300734,0.00038470180588924,0.00320697654019886
"abcc10",488.193334654354,-0.163203676063612,0.10730615310113,-1.52091628808837,0.12828084594512,0.257043950709582
"abcc2",5757.58289918377,-0.265353237924706,0.148023506994281,-1.79264255598915,0.0730300971621198,0.170770679626695
"abcc3",7531.57395983517,0.256800265418664,0.116707610916439,2.20037290971991,0.0277804482366209,0.0844003072895986
"abcc4",470.011217603559,0.431146347179057,0.17824878534618,2.41878981863311,0.0155722350688436,0.0545604029034916
"abcc5",605.273065531816,-0.039280862748942,0.105018062342867,-0.374039111678676,0.708375217744934,0.816133998504295
"abcc6",6911.92429272598,0.19398018287462,0.123459529313975,1.57120462027116,0.116135127238565,0.238248824895474
"abcc9",1617.63157000823,-0.0944737362516547,0.175604019896712,-0.537993015804667,0.590581870348635,0.731834087522982
"abcd1",1341.20977148492,0.0768077886997553,0.110316888660536,0.696246872372425,0.486274238238052,0.642240468281571
"abcd3",5080.13683753282,-0.283616012664401,0.0893437179676886,-3.17443709659555,0.00150127427010544,0.00922396756157003
"abcd4",1435.75309704131,-0.0819460641635737,0.0771350143896631,-1.06237180108124,0.288066930155026,0.456172606792041
"abce1",1817.59365922008,-0.279215512015037,0.0650573350920618,-4.29183752485285,1.77200592639331e-05,0.000285664773918377
"abcf1",3685.74985693661,-0.0776413254513275,0.0624807053705317,-1.24264482916587,0.213998742642385,0.369953634148441
"abcf2",1509.8585344427,-0.0421298345977028,0.0739097911830144,-0.570016961533304,0.568666194011595,0.713979805509264
"abcg1",708.734795973223,-0.179975696155316,0.148248722176497,-1.21401178717107,0.224743223085278,0.383705747041291
"abcg2",1385.78449385069,-0.718382833985915,0.16811025123809,-4.27328392346812,1.92614935872241e-05,0.000305319734780385
"abcg5",2054.74957148577,0.474416543342266,0.162265644195085,2.92370295447072,0.00345894653675138,0.0173721413812814
"abcg8",2857.18366529047,0.290254530178959,0.174179286723173,1.66641243996059,0.0956312947527954,0.207517476247287
"abhd10",1449.96437268451,-0.139939730085141,0.0656532555812085,-2.13149719456098,0.0330482033198997,0.0958296762706919
"abhd11",705.284617630275,0.231244702585206,0.118523745978643,1.95104112408728,0.0510521539767783,0.132573924821549
"abhd12",2904.47081564557,0.312817490686573,0.0869865431043739,3.59615958426153,0.000322949723826992,0.00279301242383494
"abhd13",714.562143639757,-0.120371906798992,0.0805474494513457,-1.49442232645371,0.135065269648992,0.267557867495146
"abhd14a",825.054681404492,0.186326192740827,0.0885411180217436,2.104402981393,0.035343309574134,0.100807741467309
"abhd14b",7621.28690603731,-0.00645596202001453,0.11095536096869,-0.0581852193859861,0.953601093996422,0.975258461142429
"abhd15",1139.5534475592,0.0669636192508516,0.133221056907707,0.502650412819071,0.615210078752843,0.75025190213131
"abhd2",14147.9102224181,0.22221725550587,0.11812546985165,1.88119679680381,0.0599451533142181,0.148694667674128
"abhd3",1573.95724710973,-0.142103322176356,0.0930384439377354,-1.52736133755049,0.126671184800523,0.254656262135516
"abhd4",1634.23392875204,0.0914808818926842,0.0962247916172357,0.950699714233502,0.341756833311809,0.513568682728301
"abhd5",987.58317504896,0.26482465783129,0.086280396455091,3.0693491072347,0.0021452574464321,0.0119836960192351
"abhd6",1776.91248667575,-0.148840426364498,0.120339480921845,-1.23683786255621,0.216147282414936,0.37276117784319
"abhd8",962.020984290747,0.233315351443326,0.0818150008558181,2.85174294448149,0.00434802462560052,0.020715058104537
"abi1",1600.40234419339,0.0414789133341794,0.0597330045798981,0.694405272694726,0.487428088016279,0.643297777080329
"abi2",792.122877744936,-0.311242737355353,0.0852808879921369,-3.6496188616616,0.000262629695161359,0.00235016373592452
"abi3",343.66864749282,-0.288317654845601,0.114165634508815,-2.52543294736684,0.0115555830782297,0.0435235060705757
"abl1",1687.04344081458,-0.151885527278692,0.0760127824000924,-1.99815771088663,0.0456995646675421,0.122247768972647
"abl2",858.331234817792,-0.363242509246663,0.0858422149187161,-4.23151370908378,2.32123843488532e-05,0.000353491453083965
"ablim1",2845.99704950328,-0.399168023023169,0.0945054411671449,-4.22375704608573,2.40263053217859e-05,0.000363291368411685
"ablim3",3214.13245523259,-0.0993743340806013,0.129035520043877,-0.770131619935429,0.441221821076765,0.604068018966552
"abr",635.449473059815,-0.41524213035274,0.13217745322221,-3.14155039479128,0.00168055884597878,0.0100665740306006
"abt1",1389.55375716099,-0.0745752011894185,0.0697524956104933,-1.06914025852001,0.285006473441532,0.453035453030641
"abtb1",1075.36796305116,0.33289893509626,0.0809660460485978,4.11158691010361,3.92948902095051e-05,0.00053703016619657
"abtb2",877.157724837899,0.359607388206673,0.103952806002586,3.45933315352477,0.000541514654709191,0.00414917967238094
"acaa1",16163.762722227,-0.275008679521565,0.138696086106112,-1.98281499674882,0.0473880982494767,0.125582878145288
"acaa2",20404.8302040549,0.0110302920440857,0.142388768039088,0.0774660262602857,0.938252817149199,0.966355075440625
"acaca",2067.14819072856,0.122268259128839,0.104679333284158,1.1680267278445,0.242795983872537,0.405119184203677
"acacb",4609.99316573482,0.1551126660238,0.136433245683137,1.13691252632108,0.255574855062242,0.419788590903466
"acad10",2125.23345162709,0.172561543575647,0.0883531597184062,1.95308853837966,0.0508091048621347,0.132023170708191
"acad11",3827.90505366412,-0.218572243688076,0.14138688445042,-1.5459159775511,0.122124861300304,0.24768526900162
"acad8",1141.06490408103,0.157477192855997,0.0735259416285491,2.14179090220383,0.0322103118575929,0.093943070971803
"acadl",595.82747866594,0.077769029747174,0.197701029743179,0.393366842085743,0.694048555984439,0.806813912793576
"acadm",6159.34425458833,-0.0333217308626196,0.130873715092614,-0.254609803343928,0.799024486706712,0.878553487677217
"acads",6167.3785169362,-0.342596083127831,0.145728275107199,-2.35092388814604,0.0187268639957402,0.0629448920744038
"acadsb",14627.5678276644,-0.566422708446033,0.151695206453369,-3.73395258616923,0.000188497995102934,0.00182464347586585
"acadvl",22328.7840641334,-0.11372785488593,0.108970504151996,-1.04365723340417,0.296644002952491,0.465204129676139
"acap2",1029.14527434024,-0.0904550412302462,0.0714467800165638,-1.2660478360155,0.205495956572663,0.358935297501231
"acap3",1102.80670127364,0.00293898827102097,0.0893342819035339,0.0328987731069981,0.973755311186435,0.986479602494407
"acat1",17239.615265151,-0.146456311037966,0.129409434604249,-1.1317282351619,0.257748707102788,0.421815577465472
"acat2",4089.47421518827,0.225546461935513,0.123543078644433,1.82565032707865,0.0679029498619992,0.161979400398078
"acbd3",1907.59925582572,-0.137027181192025,0.0742874091251921,-1.84455458610894,0.0651023584033444,0.157860417141438
"acbd4",2708.27285311652,0.339554478390115,0.12643743951998,2.68555326396385,0.00724098323612819,0.0306457096961296
"acbd5",2992.93241690385,0.0547877117953705,0.0938283170578323,0.583914467543965,0.559277859011257,0.706179099544505
"acbd6",779.233825340482,-0.00614078247273572,0.0927031552029242,-0.0662413534824542,0.947185673736972,0.971332302264177
"accs",429.531544490237,-0.00944240383103454,0.109037790058878,-0.0865975349090978,0.930991425398486,0.962246379323511
"acd",481.841334983121,-0.015306739746093,0.0897452432158926,-0.170557671889872,0.864571583079303,0.921518117797812
"ace",312.992179720629,-0.0172407741190762,0.134947474921914,-0.127759145764324,0.898339581996064,0.941738162908719
"acer3",263.89387221213,0.225340951723994,0.0780260407522973,2.88802237754656,0.00387672291318716,0.0189785838138118
"acin1",3048.45212102426,-0.143478947077684,0.0495598462432283,-2.89506441108639,0.00379080739051473,0.0186114020876854
